district,borough,building_id,school_name,org_id,project_#,description,fy_constr_start,total
01,Manhattan,M015,P.S. 15,M015,DSF0000866159,State of Good Repair - Building Upgrade - Climate,2018,57811
01,Manhattan,M015,P.S. 15,,DSF0000798364,State of Good Repair - Building Upgrade - Lighting,2015,806266
01,Manhattan,M015,P.S. 15,,DSF0000739189,State of Good Repair - Building Upgrade - Low-Voltage,2015,1559811
01,Manhattan,M015,P.S. 15,M015,DSF0000843821,State of Good Repair - System Replacements -,2018,57155
01,Manhattan,M015,P.S. 15,M015,DSF0000784791,State of Good Repair - System Replacements - Heating,2015,31680
01,Manhattan,M015,P.S. 15,,DSF0000808159,State of Good Repair - System Replacements - Heating,2017,102760
01,Manhattan,M015,P.S. 15,M015,DSF0000808160,State of Good Repair - System Replacements -,2016,115113
01,Manhattan,M019,P.S. 19,,DSF0000808194,State of Good Repair - Building Upgrade - Lighting,2016,928095
01,Manhattan,M019,P.S. 19,,DSF0000808201,State of Good Repair - System Replacements -,2016,239496
01,Manhattan,M022,N.E.S.T (OLD J22),,DSF0000866864,State of Good Repair - System Replacements -,2018,6000
01,Manhattan,M022,N.E.S.T (OLD J22),M539,DSF0000867124,New/Retrofit Telephone/Intercom Systems,2018,299180
01,Manhattan,M025,J.H.S. 25,,DSF0000822234,Miscellaneous,2015,1043132
01,Manhattan,M025,J.H.S. 25,,DSF0000808252,State of Good Repair - Building Upgrade - Lighting,2016,1762523
01,Manhattan,M025,J.H.S. 25,,DSF0000866865,State of Good Repair - System Replacements -,2018,3000
01,Manhattan,M025,J.H.S. 25,,DSF0000808257,State of Good Repair - System Replacements - Heating,2018,290110
01,Manhattan,M025,J.H.S. 25,M515,DSF0000822662,State of Good Repair - System Replacements - Heating,2018,144786
01,Manhattan,M025,J.H.S. 25,M515,DSF0000843786,Classroom Connectivity,2016,146146
01,Manhattan,M034,P.S. 34,,DSF0000866868,State of Good Repair - System Replacements -,2018,3000
01,Manhattan,M034,P.S. 34,,DSF0000808331,State of Good Repair - System Replacements - Heating,2018,144786
01,Manhattan,M056,J.H.S. 56,M292,DSF0000822689,Educational Enhancements - Educational,2016,2548375
01,Manhattan,M056,J.H.S. 56,,DSF0000785220,State of Good Repair - Building Upgrade - Lighting,2015,2082873
01,Manhattan,M056,J.H.S. 56,M292,DSF0000866194,Classroom Connectivity,2017,48516
01,Manhattan,M056,J.H.S. 56,,DSF0000868082,IP Surveillance Camera Installation,2019,475000
01,Manhattan,M060,J.H.S. 60,M450,DSF0000785275,State of Good Repair - Building Upgrade - Flood,2015,1363372
01,Manhattan,M060,J.H.S. 60,,DSF0000762652,State of Good Repair - System Replacements - Exterior,2015,5167015
01,Manhattan,M060,J.H.S. 60,M450,DSF0000866117,State of Good Repair - System Replacements - Heating,2018,77690
01,Manhattan,M060,J.H.S. 60,M450,DSF0000785277,State of Good Repair - System Replacements - Parapets,2015,725414
01,Manhattan,M060,J.H.S. 60,M450,DSF0000799353,State of Good Repair - System Replacements - Roofs,2015,1346860
01,Manhattan,M060,J.H.S. 60,M330,DSF0000808643,State of Good Repair - System Replacements -,2016,101859
01,Manhattan,M061,P.S. 61,,DSF0000785290,State of Good Repair - Building Upgrade - Lighting,2015,1065915
01,Manhattan,M061,P.S. 61,M315,DSF0000762665,State of Good Repair - Building Upgrade - Low-Voltage,2016,1855683
01,Manhattan,M061,P.S. 61,,DSF0000775645,State of Good Repair - System Replacements -,2016,695412
01,Manhattan,M061,P.S. 61,,DSF0000785297,State of Good Repair - System Replacements -,2016,760074
01,Manhattan,M061,P.S. 61,,DSF0000866875,State of Good Repair - System Replacements -,2018,3000
01,Manhattan,M061,P.S. 61,M361,DSF0000843975,State of Good Repair - System Replacements - Exterior,2017,125553
01,Manhattan,M061,P.S. 61,M315,DSF0000808659,State of Good Repair - System Replacements -,2016,101886
01,Manhattan,M063,P.S. 63,M063,DSF0000808675,State of Good Repair - System Replacements -,2016,76064
01,Manhattan,M064,P.S. 64 (OLD 71),,DSF0000866876,State of Good Repair - System Replacements -,2018,9000
